phase,benchmark,agent,chosen_n,acc_when_chosen
pretrain,medical_qa,agent-openrouter-openai-gpt-oss-120b-003,13,0.692308
pretrain,medical_qa,agent-openrouter-gemma-3-4b-it-005,5,0.600000
pretrain,medical_qa,agent-openrouter-deepseek-v3-006,3,0.333333
pretrain,medical_qa,__overall__,53,0.584906
pretrain,humaneval,agent-openrouter-deepseek-v3-006,20,0.200000
pretrain,humaneval,agent-openrouter-openai-gpt-5-nano-002,15,0.333333
pretrain,humaneval,agent-openrouter-qwen-2.5-7b-instruct-004,14,0.214286
pretrain,humaneval,agent-openrouter-gemma-3-4b-it-005,6,0.333333
pretrain,humaneval,agent-openrouter-openai-gpt-oss-120b-003,3,0.000000
pretrain,humaneval,__overall__,58,0.241379
pretrain,amc,agent-openrouter-openai-gpt-oss-120b-003,73,0.000000
pretrain,amc,__overall__,73,0.000000
pretrain,bbh,agent-openrouter-openai-gpt-oss-120b-003,35,0.457143
pretrain,bbh,agent-openrouter-deepseek-v3-006,9,0.444444
pretrain,bbh,agent-openrouter-openai-gpt-5-nano-002,8,0.500000
pretrain,bbh,agent-openrouter-qwen-2.5-7b-instruct-004,5,0.400000
pretrain,bbh,agent-openrouter-gemma-3-4b-it-005,3,0.333333
pretrain,bbh,__overall__,60,0.450000
pretrain,gsm8k,agent-openrouter-openai-gpt-5-nano-002,20,0.550000
pretrain,gsm8k,agent-openrouter-qwen-2.5-7b-instruct-004,16,0.500000
pretrain,gsm8k,agent-openrouter-gemma-3-4b-it-005,11,0.181818
pretrain,gsm8k,agent-openrouter-openai-gpt-oss-120b-003,7,0.571429
pretrain,gsm8k,agent-openrouter-deepseek-v3-006,2,0.000000
pretrain,gsm8k,__overall__,56,0.446429
test,gsm8k,agent-openrouter-gemma-3-4b-it-005,8,0.125000
test,gsm8k,agent-openrouter-openai-gpt-oss-120b-003,8,0.750000
test,gsm8k,agent-openrouter-openai-gpt-5-nano-002,4,0.750000
test,gsm8k,agent-openrouter-deepseek-v3-006,3,1.000000
test,gsm8k,agent-openrouter-qwen-2.5-7b-instruct-004,2,0.000000
test,gsm8k,__overall__,25,0.520000
test,bbh,agent-openrouter-openai-gpt-oss-120b-003,15,0.333333
test,bbh,agent-openrouter-deepseek-v3-006,4,0.500000
test,bbh,agent-openrouter-openai-gpt-5-nano-002,3,0.666667
test,bbh,agent-openrouter-gemma-3-4b-it-005,1,0.000000
test,bbh,agent-openrouter-qwen-2.5-7b-instruct-004,1,0.000000
test,bbh,__overall__,24,0.375000
test,medical_qa,agent-openrouter-openai-gpt-5-nano-002,7,0.714286
test,medical_qa,agent-openrouter-qwen-2.5-7b-instruct-004,6,0.666667
test,medical_qa,agent-openrouter-deepseek-v3-006,1,1.000000
test,medical_qa,agent-openrouter-gemma-3-4b-it-005,1,0.000000
test,medical_qa,agent-openrouter-openai-gpt-oss-120b-003,1,0.000000
test,medical_qa,__overall__,16,0.625000
test,amc,agent-openrouter-openai-gpt-oss-120b-003,18,0.000000
test,amc,__overall__,18,0.000000
test,humaneval,agent-openrouter-deepseek-v3-006,6,0.500000
test,humaneval,agent-openrouter-openai-gpt-5-nano-002,5,0.000000
test,humaneval,agent-openrouter-qwen-2.5-7b-instruct-004,3,0.000000
test,humaneval,agent-openrouter-gemma-3-4b-it-005,2,1.000000
test,humaneval,agent-openrouter-openai-gpt-oss-120b-003,1,0.000000
test,humaneval,__overall__,17,0.294118
